Token               Lexeme              
----------------------------------------
Identifier          welcome             
Identifier          to                  
Identifier          this                
Identifier          file                
Identifier          whant               
Identifier          to                  
Identifier          know                
Keyword             if                  
Identifier          this                
Identifier          is                  
Identifier          going               
Identifier          to                  
