token               lexeme              
----------------------------------------
can                 Identifier          
this                Identifier          
file                Identifier          
be                  Invalid Token       
read                Identifier          
correctly           Identifier          
?                   Invalid Token       
we                  Invalid Token       
*                   Operator            
this                Identifier          
is                  Invalid Token       
a                   Identifier          
comment             Identifier          
to                  Invalid Token       
try                 Identifier          
and                 Identifier          
throw               Invalid Token       
things              Identifier          
off                 Identifier          
*                   Operator            
]                   Invalid Token       
may                 Identifier          
never               Invalid Token       
know                Identifier          
.                   Invalid Token       
what                Identifier          
about               Invalid Token       
this                Identifier          
fake                Identifier          
c                   Identifier          
o                   Identifier          
*                   Operator            
]                   Invalid Token       
mment               Invalid Token       
never               Invalid Token       
end                 Identifier          
comment             Identifier          
?                   Invalid Token       
jfjjkdlf1232jjklj   Identifier          
jklkjjkl12323       Invalid Token       
*                   Operator            
work                Identifier          
?                   Invalid Token       
                    Invalid Token       
