Token               Lexeme              
----------------------------------------
Identifier          a                   
Operator            =                   
Unknown             variable12.2x       
Operator            +                   
Unknown             123.123b            
Separator           ;                   
Unknown             $a                  
Keyword             while               
Separator           (                   
Identifier          i                   
Operator            <                   
Identifier          lower               
Separator           )                   
Keyword             int                 
Identifier          lower               
Operator            =                   
Identifier          i                   
Separator           ;                   
Keyword             if                  
Separator           (                   
Identifier          lower               
Operator            =>                  
Real                22.03               
Separator           )                   
Identifier          upper               
Operator            =                   
Integer             100                 
Separator           ;                   
Keyword             whileend            
Keyword             if                  
Separator           {                   
Identifier          a                   
Operator            +                   
Identifier          c                   
Operator            ==                  
Integer             123                 
Separator           }                   
Keyword             ifend               
Identifier          silvia              
Operator            =                   
Keyword             true                
Separator           ;                   
Integer             23                  
Separator           ,                   
Integer             4885                
Keyword             bool                
Keyword             false               
Keyword             function            
Operator            /                   
Operator            *                   
Operator            ^=                  
Unknown             ^                   
Real                123.123             
Unknown             123.123bweq4wesrgdf 
Unknown             ifem#qwe            
Operator            ==                  
Operator            ==                  
Unknown             .123                
Unknown             123$123             
Unknown             123#123             
Identifier          void                
Identifier          quickSort           
Separator           (                   
Keyword             int                 
Unknown             arr[]               
Separator           ,                   
Keyword             int                 
Identifier          left                
Separator           ,                   
Keyword             int                 
Identifier          right               
Separator           )                   
Separator           {                   
Keyword             int                 
Identifier          i                   
Operator            =                   
Identifier          left                
Separator           ,                   
Identifier          j                   
Operator            =                   
Identifier          right               
Separator           ;                   
Keyword             int                 
Identifier          tmp                 
Separator           ;                   
Keyword             int                 
Identifier          pivot               
Operator            =                   
Unknown             arr[                
Separator           (                   
Identifier          left                
Operator            +                   
Identifier          right               
Separator           )                   
Operator            /                   
Unknown             2]                  
Separator           ;                   
Keyword             if                  
Separator           (                   
Identifier          left                
Operator            <                   
Identifier          j                   
Separator           )                   
Identifier          quickSort           
Separator           (                   
Identifier          arr                 
Separator           ,                   
Identifier          left                
Separator           ,                   
Identifier          j                   
Separator           )                   
Separator           ;                   
Keyword             if                  
Separator           (                   
Identifier          i                   
Operator            <                   
Identifier          right               
Separator           )                   
Identifier          quickSort           
Separator           (                   
Identifier          arr                 
Separator           ,                   
Identifier          i                   
Separator           ,                   
Identifier          right               
Separator           )                   
Separator           ;                   
Separator           }                   
Identifier          can                 
Identifier          this                
Identifier          file                
Identifier          be                  
Identifier          read                
Unknown             correctly?          
Identifier          we                  
Identifier          may                 
Identifier          never               
Unknown             know.               
Identifier          what                
Identifier          about               
Identifier          this                
Identifier          fake                
Unknown             c[o                 
Operator            *                   
Unknown             ]mment?             
Identifier          never               
Identifier          end                 
Unknown             comment?            
Unknown             Unable to find end of comment
